time,cpi
Jun-1922,1.930
Sep-1922,1.930
Dec-1922,1.910
Mar-1923,1.920
Jun-1923,1.980
Sep-1923,2.000
Dec-1923,2.000
Mar-1924,1.940
Jun-1924,1.940
Sep-1924,1.930
Dec-1924,1.930
Mar-1925,1.960
Jun-1925,1.980
Sep-1925,1.990
Dec-1925,1.980
Mar-1926,1.990
Jun-1926,2.030
Sep-1926,2.000
Dec-1926,1.990
Mar-1927,1.980
Jun-1927,1.970
Sep-1927,1.990
Dec-1927,2.000
Mar-1928,2.000
Jun-1928,2.010
Sep-1928,2.000
Dec-1928,2.000
Mar-1929,2.050
Jun-1929,2.050
Sep-1929,2.050
Dec-1929,2.050
Mar-1930,1.990
Jun-1930,1.970
Sep-1930,1.910
Dec-1930,1.840
Mar-1931,1.790
Jun-1931,1.740
Sep-1931,1.690
Dec-1931,1.670
Mar-1932,1.670
Jun-1932,1.650
Sep-1932,1.630
Dec-1932,1.600
Mar-1933,1.580
Jun-1933,1.590
Sep-1933,1.590
Dec-1933,1.590
Mar-1934,1.600
Jun-1934,1.620
Sep-1934,1.620
Dec-1934,1.620
Mar-1935,1.630
Jun-1935,1.630
Sep-1935,1.650
Dec-1935,1.660
Mar-1936,1.660
Jun-1936,1.660
Sep-1936,1.690
Dec-1936,1.700
Mar-1937,1.710
Jun-1937,1.710
Sep-1937,1.730
Dec-1937,1.740
Mar-1938,1.750
Jun-1938,1.770
Sep-1938,1.790
Dec-1938,1.790
Mar-1939,1.820
Jun-1939,1.810
Sep-1939,1.810
Dec-1939,1.830
Mar-1940,1.840
Jun-1940,1.880
Sep-1940,1.890
Dec-1940,1.950
Mar-1941,1.970
Jun-1941,1.980
Sep-1941,1.990
Dec-1941,2.030
Mar-1942,2.080
Jun-1942,2.140
Sep-1942,2.190
Dec-1942,2.220
Mar-1943,2.220
Jun-1943,2.260
Sep-1943,2.240
Dec-1943,2.220
Mar-1944,2.220
Jun-1944,2.220
Sep-1944,2.230
Dec-1944,2.220
Mar-1945,2.220
Jun-1945,2.220
Sep-1945,2.220
Dec-1945,2.230
Mar-1946,2.240
Jun-1946,2.260
Sep-1946,2.260
Dec-1946,2.280
Mar-1947,2.300
Jun-1947,2.320
Sep-1947,2.350
Dec-1947,2.410
Mar-1948,2.470
Jun-1948,2.520
Sep-1948,2.590
Dec-1948,2.630
Mar-1949,2.710
Jun-1949,2.740
Sep-1949,2.820
Dec-1949,2.860
Mar-1950,2.900
Jun-1950,3.020
Sep-1950,3.050
Dec-1950,3.170
Mar-1951,3.320
Jun-1951,3.520
Sep-1951,3.710
Dec-1951,3.980
Mar-1952,4.100
Jun-1952,4.250
Sep-1952,4.330
Dec-1952,4.370
Mar-1953,4.410
Jun-1953,4.450
Sep-1953,4.480
Dec-1953,4.450
Mar-1954,4.480
Jun-1954,4.480
Sep-1954,4.480
Dec-1954,4.480
Mar-1955,4.520
Jun-1955,4.560
Sep-1955,4.600
Dec-1955,4.640
Mar-1956,4.680
Jun-1956,4.830
Sep-1956,4.950
Dec-1956,4.950
Mar-1957,4.950
Jun-1957,4.990
Sep-1957,4.990
Dec-1957,4.990
Mar-1958,5.030
Jun-1958,5.030
Sep-1958,5.030
Dec-1958,5.060
Mar-1959,5.100
Jun-1959,5.100
Sep-1959,5.140
Dec-1959,5.180
Mar-1960,5.220
Jun-1960,5.300
Sep-1960,5.370
Dec-1960,5.410
Mar-1961,5.450
Jun-1961,5.490
Sep-1961,5.450
Dec-1961,5.450
Mar-1962,5.450
Jun-1962,5.450
Sep-1962,5.450
Dec-1962,5.450
Mar-1963,5.450
Jun-1963,5.450
Sep-1963,5.490
Dec-1963,5.490
Mar-1964,5.530
Jun-1964,5.570
Sep-1964,5.640
Dec-1964,5.680
Mar-1965,5.720
Jun-1965,5.800
Sep-1965,5.840
Dec-1965,5.910
Mar-1966,5.950
Jun-1966,5.990
Sep-1966,5.990
Dec-1966,6.070
Mar-1967,6.110
Jun-1967,6.150
Sep-1967,6.260
Dec-1967,6.260
Mar-1968,6.300
Jun-1968,6.340
Sep-1968,6.380
Dec-1968,6.420
Mar-1969,6.490
Jun-1969,6.530
Sep-1969,6.570
Dec-1969,6.610
Mar-1970,6.690
Jun-1970,6.770
Sep-1970,6.800
Dec-1970,6.920
Mar-1971,7.000
Jun-1971,7.110
Sep-1971,7.270
Dec-1971,7.420
Mar-1972,7.500
Jun-1972,7.580
Sep-1972,7.690
Dec-1972,7.770
Mar-1973,7.930
Jun-1973,8.200
Sep-1973,8.470
Dec-1973,8.780
Mar-1974,9.010
Jun-1974,9.390
Sep-1974,9.860
Dec-1974,10.210
Mar-1975,10.590
Jun-1975,10.980
Sep-1975,11.060
Dec-1975,11.680
Mar-1976,11.980
Jun-1976,12.290
