countryName,countryCode,incomeGroup,region,GDP,population,landArea,lifeExpecFem,lifeExpecMale
Afghanistan,AFG,Low income,South Asia,21808863988.0303,38041754,652860,64.877,61.965
Albania,ALB,Upper middle income,Europe & Central Asia,14872299622.2198,2854191,27400,80.107,76.066
Algeria,DZA,Lower middle income,Middle East & North Africa,202339167644.005,43053054,2381740,77.306,74.917
American Samoa,ASM,Upper middle income,East Asia & Pacific,,55312,200,,
Andorra,AND,High income,Europe & Central Asia,3539838260.639,77142,470,,
Angola,AGO,Lower middle income,Sub-Saharan Africa,99013511554.0281,31825295,1246700,62.237,56.737
Antigua and Barbuda,ATG,High income,Latin America & Caribbean,1525166899.84343,97118,440,77.665,75.242
Argentina,ARG,Upper middle income,Latin America & Caribbean,437813398153.622,44938712,2736690,79.434,72.614
Armenia,ARM,Upper middle income,Europe & Central Asia,13996188672.3481,2957731,28470,77.708,70.921
Aruba,ABW,High income,Latin America & Caribbean,,106314,180,78.101,73.208
Australia,AUS,High income,East Asia & Pacific,1450499018770.09,25364307,7682300,84.5,80.4
Austria,AUT,High income,Europe & Central Asia,448761534683.333,8877067,82522.998046875,83.7,78.8
Azerbaijan,AZE,Upper middle income,Europe & Central Asia,58937036212.3055,10023318,82662.998046875,74.956,69.543
"Bahamas, The",BHS,High income,Latin America & Caribbean,11259359315.7961,389482,10010,75.296,70.802
Bahrain,BHR,High income,Middle East & North Africa,34321808510.6383,1641172,778.000030517578,77.848,75.936
Bangladesh,BGD,Lower middle income,South Asia,209974367461.625,163046161,130170,73.316,69.978
Barbados,BRB,High income,Latin America & Caribbean,4621053250,287025,430,80.152,77.351
Belarus,BLR,Upper middle income,Europe & Central Asia,63224483611.5246,9466856,202978.0078125,78.9,68.6
Belgium,BEL,High income,Europe & Central Asia,546851155613.124,11484055,30280,83.4,78.7
Belize,BLZ,Upper middle income,Latin America & Caribbean,1619911044.40275,390353,22810,76.896,71.424
Benin,BEN,Lower middle income,Sub-Saharan Africa,14867185272.7071,11801151,112760,62.082,59.1
Bermuda,BMU,High income,North America,6025347991.57898,63918,54.0000009536743,84.91,77.3
Bhutan,BTN,Lower middle income,South Asia,2489357934.58305,763092,38116.9995117188,70.668,70.164
